masp,tensp,slt,mota,gia
SP000001,Classical Mythology,74,,291000
SP000002,Clara Callan,931,,195000
SP000003,Decision in Normandy,545,,542000
SP000004,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,924,,821000
SP000005,The Mummies of Urumchi,441,,265000
SP000006,The Kitchen God's Wife,493,,742000
SP000007,What If?: The World's Foremost Military Historians Imagine What Might Have Been,988,,192000
SP000008,PLEADING GUILTY,328,,281000
SP000009,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,841,,798000
SP000010,Where You'll Find Me: And Other Stories,304,,785000
SP000011,Nights Below Station Street,710,,914000
SP000012,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,561,,628000
SP000013,The Middle Stories,100,,699000
SP000014,Jane Doe,817,,987000
SP000015,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),98,,870000
SP000016,The Witchfinder (Amos Walker Mystery Series),513,,138000
SP000017,More Cunning Than Man: A Social History of Rats and Man,811,,205000
SP000018,Goodbye to the Buttermilk Sky,980,,587000
SP000019,The Testament,580,,557000
SP000020,Beloved (Plume Contemporary Fiction),968,,318000
SP000021,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,394,,955000
SP000022,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,486,,803000
SP000023,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,229,,541000
SP000024,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),195,,495000
SP000025,Tell Me This Isn't Happening,2,,306000
SP000026,Flood : Mississippi 1927,709,,319000
SP000027,Wild Animus,669,,730000
SP000028,Airframe,125,,182000
SP000029,Timeline,531,,752000
SP000030,OUT OF THE SILENT PLANET,723,,464000
SP000031,Prague : A Novel,550,,427000
SP000032,Chocolate Jesus,802,,187000
SP000033,Wie Barney es sieht.,978,,852000
SP000034,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,229,,857000
SP000035,Sturmzeit. Roman.,299,,600000
SP000036,Tage der Unschuld.,636,,380000
SP000037,Lying Awake,866,,934000
SP000038,To Kill a Mockingbird,64,,464000
SP000039,Seabiscuit: An American Legend,426,,930000
SP000040,Pigs in Heaven,116,,493000
SP000041,Miss Zukas and the Raven's Dance,630,,206000
SP000042,Pride and Prejudice,518,,914000
SP000043,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,106,,425000
SP000044,Downtown,452,,736000
SP000045,Icebound,189,,222000
SP000046,I'll Be Seeing You,506,,523000
SP000047,From the Corner of His Eye,753,,316000
SP000048,Isle of Dogs,717,,143000
SP000049,Purity in Death,439,,174000
SP000050,This Year It Will Be Different: And Other Stories,502,,242000
SP000051,Proxies,872,,294000
SP000052,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),138,,651000
SP000053,The Street Lawyer,178,,816000
SP000054,Love Medicine and Miracles,295,,805000
SP000055,All the King's Men,610,,217000
SP000056,Pacific Northwest,746,,552000
SP000057,A Soldier of the Great War,636,,844000
SP000058,Getting Well Again,143,,518000
SP000059,Northwest Wines and Wineries,969,,246000
SP000060,An Atmosphere of Eternity: Stories of India,261,,692000
SP000061,LONESOME DOVE,595,,163000
SP000062,Shabanu: Daughter of the Wind (Border Trilogy),396,,753000
SP000063,Haveli (Laurel Leaf Books),114,,216000
SP000064,Lieux dits,7,,925000
SP000065,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,943,,820000
SP000066,The yawning heights,83,,101000
SP000067,Breathing Lessons,768,,900000
SP000068,The Joy Luck Club,696,,776000
SP000069,Heart of Darkness (Wordsworth Collection),672,,819000
SP000070,The Angel Is Near,591,,167000
SP000071,Tess of the D'Urbervilles (Wordsworth Classics),739,,146000
SP000072,The Adventures of Drew and Ellie: The Magical Dress,617,,818000
SP000073,The Accidental Virgin,641,,775000
SP000074,The Tao of Pooh,336,,459000
SP000075,Seabiscuit,973,,181000
SP000076,The Prince,96,,309000
SP000077,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),455,,295000
SP000078,Starship Troopers,290,,333000
SP000079,The Ruby in the Smoke (Sally Lockhart Trilogy Book 1),906,,146000
SP000080,Black Beauty (Illustrated Classics),124,,858000
SP000081,Anil's Ghost,814,,935000
SP000082,Prescription for Terror,239,,906000
SP000083,Modern Manners: An Etiquette Book for Rude People,221,,345000
SP000084,Turning Thirty,367,,476000
SP000085,Decipher,227,,901000
SP000086,My First Cousin Once Removed: Money Madness and the Family of Robert Lowell,364,,347000
SP000087,Standing Firm: A Vice-Presidential Memoir,845,,425000
SP000088,Team Bush : Leadership Lessons from the Bush White House,551,,734000
SP000089,The Right Man : The Surprise Presidency of George W. Bush,624,,748000
SP000090,Daybreakers Louis Lamour Collection,386,,485000
SP000091,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),273,,445000
SP000092,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),248,,653000
SP000093,El Senor De Los Anillos: El Retorno Del Rey (Tolkien J. R. R. Lord of the Rings. 3.),497,,120000
SP000094,Midnight in the Garden of Good and Evil: A Savannah Story,624,,809000
SP000095,Pretend You Don't See Her,145,,851000
SP000096,Fast Women,736,,603000
SP000097,Female Intelligence,626,,399000
SP000098,Pasquale's Nose: Idle Days in an Italian Town,43,,714000
SP000099,The Gospel of Judas: A Novel,680,,632000
SP000100,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!,245,,725000
SP000101,The Pillars of the Earth,819,,201000
SP000102,McDonald's: Behind the Arches,693,,246000
SP000103,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,992,,607000
SP000104,Corelli's Mandolin : A Novel,670,,984000
SP000105,The Five People You Meet in Heaven,554,,902000
SP000106,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),826,,297000
SP000107,Relics (Star Trek: The Next Generation),663,,918000
SP000108,Bless The Beasts And Children : Bless The Beasts And Children,809,,289000
SP000109,The Touch of Your Shadow the Whisper of Your Name (Babylon 5 Book 5),762,,720000
SP000110,Blood Oath,336,,490000
SP000111,The Alibi,996,,991000
SP000112,The Beach House,768,,971000
SP000113,A Kiss Remembered,875,,405000
SP000114,The Short Forever,557,,255000
SP000115,Dead Aim,873,,350000
SP000116,Angels &amp; Demons,95,,621000
SP000117,The Deal,756,,799000
SP000118,All He Ever Wanted: A Novel,408,,243000
SP000119,The Mosquito Coast,194,,407000
SP000120,The Girl Who Loved Tom Gordon,681,,594000
